origin_id,origin_class,origin_label,type_id,type_class,type_label,value_id,value_class,value_label
5c2047c9-395b-4b82-94d6-5b649fed48c5,E,Reading of culpe of Agnessona Socca,53d49b80-f6b7-498f-8050-79db1232e37b,C,SRP in,0114ee69-4ac7-4d85-8ca1-9c13be8e32ab,L,Giaveno
5c30344b-1a3b-4e88-8ce5-04dd06290da5,T,Bernardus Manielo,4e4b5f63-8eac-41ec-96d4-45cbd19ea8f6,C,deponent,2b8c68ec-732c-4849-9b35-6cd6540fea23,P,Bernardus Manielo
5c531dab-a094-42e1-aa31-68ddb9881b60,T,Cauzione di Gualandus Gerardini Guaraschi,bed73d79-d3e7-4036-b357-42ec0da37c43,C,person at trial,1fa46a8c-7aa0-4640-b842-34c896dfc9dc,P,Gualandus Guaraschi de Montebellio
5c531dab-a094-42e1-aa31-68ddb9881b60,T,Cauzione di Gualandus Gerardini Guaraschi,7842d8fa-63d0-4161-8181-9a6a40ecf6c4,C,inquisitor,109572d3-35bb-4130-a975-a10b85e0fe2b,P,Guido Parmensis
5c531dab-a094-42e1-aa31-68ddb9881b60,T,Cauzione di Gualandus Gerardini Guaraschi,0d20880a-5a5a-419d-880f-0ef767c2167e,C,notary,73af1613-e312-496c-8cf9-a50d0ab7c13e,P,Franciscus Iohannis Bentivegne
5c531dab-a094-42e1-aa31-68ddb9881b60,T,Cauzione di Gualandus Gerardini Guaraschi,34d54df3-2851-4d7e-915a-0197f20d45b0,C,represented event,7e05cb18-2555-4cf7-a70d-108e7c568d0a,E,Cauzione di Gualandus Gerardini Guaraschi
5cbae5e2-3b7d-436a-bb3c-3863839d5b08,T,VII. The Sounding of the Call,c5f3108d-d6ba-4ad7-afcc-2776ec9407ce,C,defendant,78a6a7b3-f054-449f-8b36-7d0b3e198d18,B,Buck
5cd97c89-41c8-4c21-a889-4bac71b95d9d,P,Santa Michaelis,72892176-a0c2-4a09-bd33-2e4aa609243c,C,given name,d165744d-b83e-4985-94f0-07f6e8fe7cbd,V,Santa
5cd97c89-41c8-4c21-a889-4bac71b95d9d,P,Santa Michaelis,182e75e9-9583-4077-9fb5-efd1681d041a,C,family name,0d5d4d8e-a4cb-4fdb-af4c-a764efee2aec,V,Michaelis
5cd97c89-41c8-4c21-a889-4bac71b95d9d,P,Santa Michaelis,4ce5e669-d421-40c9-b1ce-f476fdd171fe,C,sex,04990e82-c295-4ac6-9d3b-ed7b0c50ba50,C,female
5cd97c89-41c8-4c21-a889-4bac71b95d9d,P,Santa Michaelis,7b1019a9-80ae-443f-9f34-601c68c1946c,C,location of residence,18d4d0de-8b6d-42e9-9373-2d591e426d9b,L,"Cappella S. Martini de Aposa (Apposa, Apoxa, Apaxa)"
5cd97c89-41c8-4c21-a889-4bac71b95d9d,P,Santa Michaelis,bd52f068-a72f-4eeb-89af-f018b84e5526,C,father,c9876449-583b-42c9-8409-79c17885a765,P,Michael
5ce013b4-3112-454a-856e-6e6544b2a4a6,P,"Iohanna, filia Iohannis de Bonaudo",72892176-a0c2-4a09-bd33-2e4aa609243c,C,given name,d4f3274f-493c-4521-b842-a3a75af0d2a4,V,Iohanna
5ce013b4-3112-454a-856e-6e6544b2a4a6,P,"Iohanna, filia Iohannis de Bonaudo",4ce5e669-d421-40c9-b1ce-f476fdd171fe,C,sex,04990e82-c295-4ac6-9d3b-ed7b0c50ba50,C,female
5ce013b4-3112-454a-856e-6e6544b2a4a6,P,"Iohanna, filia Iohannis de Bonaudo",d5418d72-e035-4fe0-b8c9-c1e1b4f561df,C,physical condition,b2b76bb3-49ef-4bd3-a144-2c162a559d19,C,alive
5ce013b4-3112-454a-856e-6e6544b2a4a6,P,"Iohanna, filia Iohannis de Bonaudo",f07278ea-c498-4036-ab16-b1af7a438087,C,location of congregation,b1e9ef1c-011a-4536-9e7d-ac672fe68b17,L,domus Bernardi de Rosseto
5d014c29-2a74-4979-9344-2769bf805a61,L,Domus ff. Minorum,b118373a-595f-43d9-ba4b-37c673a69e57,C,SRP next to,a57fc70f-151b-4f64-a3de-ca231e85e46c,L,Burgus Peradelli
5d26820d-c603-4fa9-b3c1-78a4ef5a6758,O,"Genève, Bibliothèque de Genève, ms. l.e. 208",3de10dfc-c220-459e-9c8d-3524be0b191c,C,repository,a99961c9-8123-4f64-8fc1-b90cd71e0a1e,L,"Genève, Bibliothèque de Genève"
5d26820d-c603-4fa9-b3c1-78a4ef5a6758,O,"Genève, Bibliothèque de Genève, ms. l.e. 208",279690e5-0a2f-457f-bc14-a566218fb898,C,shelf number,4c23d317-9988-4ead-a7f7-f6b662d47f12,V,ms. l.e. 208
5d26820d-c603-4fa9-b3c1-78a4ef5a6758,O,"Genève, Bibliothèque de Genève, ms. l.e. 208",eabcf674-e6e5-4be0-adaf-95cc192ad813,C,creation event,3e012f0b-7aa3-452b-82f7-a66ca9da6d6e,E,"Creation of Genève, Bibliothèque de Genève, ms. l.e. 208"
5d2ff0a0-033f-4c2b-a6ef-6ff8dc11d59e,P,Nasinbene Belvisii,72892176-a0c2-4a09-bd33-2e4aa609243c,C,given name,4060d427-cc55-4ce5-9900-74e70254be96,V,Nasinbene
5d2ff0a0-033f-4c2b-a6ef-6ff8dc11d59e,P,Nasinbene Belvisii,182e75e9-9583-4077-9fb5-efd1681d041a,C,family name,f4605da5-7b94-4598-8a39-0e10dbc22e8e,V,Belvisii
5d2ff0a0-033f-4c2b-a6ef-6ff8dc11d59e,P,Nasinbene Belvisii,4ce5e669-d421-40c9-b1ce-f476fdd171fe,C,sex,851ecfbd-1255-4c89-801f-00e819b9b87e,C,male
5d462cda-60c7-4d53-b9dd-6be70b83c0f7,T,Deposizione di Salva Bonaventure,bed73d79-d3e7-4036-b357-42ec0da37c43,C,person at trial,a2ca8c46-c171-4612-be24-b229433ebf08,P,Salva Bonaventure
5d462cda-60c7-4d53-b9dd-6be70b83c0f7,T,Deposizione di Salva Bonaventure,7842d8fa-63d0-4161-8181-9a6a40ecf6c4,C,inquisitor,44934c6f-fea7-4728-9706-5227188c0f26,P,Guido Vicentinus
5d462cda-60c7-4d53-b9dd-6be70b83c0f7,T,Deposizione di Salva Bonaventure,0d20880a-5a5a-419d-880f-0ef767c2167e,C,notary,3a495814-62b9-46e4-90ca-20783cafe9d6,P,Guido Bontalenti
5d462cda-60c7-4d53-b9dd-6be70b83c0f7,T,Deposizione di Salva Bonaventure,34d54df3-2851-4d7e-915a-0197f20d45b0,C,represented event,8b208dda-6d7d-4ad8-9249-3b7f7da61f0a,E,Deposizione di Salva Bonaventure
5d649e8a-aecf-49b0-966a-2368ff6b6983,T,Deposizione di Ubaldinus Guidonis,bed73d79-d3e7-4036-b357-42ec0da37c43,C,person at trial,22d0a40f-d1c3-4755-94e2-73d1d3e21eca,P,Ubaldinus Guidonis
5d649e8a-aecf-49b0-966a-2368ff6b6983,T,Deposizione di Ubaldinus Guidonis,7842d8fa-63d0-4161-8181-9a6a40ecf6c4,C,inquisitor,44934c6f-fea7-4728-9706-5227188c0f26,P,Guido Vicentinus
5d649e8a-aecf-49b0-966a-2368ff6b6983,T,Deposizione di Ubaldinus Guidonis,0d20880a-5a5a-419d-880f-0ef767c2167e,C,notary,3a495814-62b9-46e4-90ca-20783cafe9d6,P,Guido Bontalenti
