status,id_action_or_relation,subject,action_or_relation,action_or_relation_english,action_or_relation_middle_english,action_or_relation_synonyms,actant1_valency,actant1,actant2_valency,actant2,action_or_relation_type,subtype1,subtype2,subtype3,subtype4,parent_id,parent_label,parent_label_english,components_id,components_label,components_label_english,quasisynonym_id,quasisynonym_label,quasisynonym__label_english,related_entity_id,related_entity_label,related_entity_label_english,tags,dissidence_or_compliance_level,tie_value_subject_actant1,tie_value_subject_actant2,reciprocal_relation_actant1_subject_id,reciprocal_relation_actant1_subject,reciprocal_relation_actant1_subject_english,reciprocal_relation_actant2_subject_id,reciprocal_relation_actant2_subject,reciprocal_relation_actant2_subject_english,rule_time,rule_duration,rule_frequency,rule_location_where,rule_location_from,rule_location_to,rule_dissidence_level,rule_compliance_level,text_example,note,recommendation
approved,A0268,[] Person | [] Group,"""recessit"" (ab alqo)",left/abandoned (sb/st - [for sb/st]),,,"""a"" + 6",[] Person | [] Group | [] Concept,"""pro"" + 6",[] Person | [] Group | [] Concept | [] Statement | [] Event,interaction,leaving,abandoning,abandoning sb,,A0273,"""recessit"" (absol.)",left/departed,NA,NA,NA,,#N/A,#N/A,,#VALUE!,#VALUE!,,not safely inferable,negative,positive,,#N/A,#N/A,,#N/A,#N/A,O,O,O,O,NA,NA,O,NA,,,
approved,A0273,[] Person | [] Group,"""recessit"" (absol.)",left/departed,,,NULL,NULL,NULL,NULL,action,leaving,,,,,#N/A,#N/A,NA,NA,NA,,#N/A,#N/A,,#VALUE!,#VALUE!,,NA,NA,NA,NULL,#N/A,#N/A,NULL,#N/A,#N/A,O,O,O,O,NA,NA,O,NA,,,
approved,A0226,[] Person | [] Group,"""recidivavit""",relapsed ([in st]),,,"NULL | ""in"" + 4",[] Concept | [] Statement,NULL,NULL,action,relapse,,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,legal,,neutral,NA,???,#N/A,#N/A,NULL,NULL,NULL,1,1,1,NA,NA,NA,,,"""quod, postquam ille domine fuerunt absolute antequam morerentur, ... recidivaverint in eodem errore""",,
approved,A0119,[] Person | [] Group,"""recordatur""",remembers,,,"4inf | ""quod"" | 4",[] Statement | [] Concept | [] Person | [] Group,NULL,NULL | [] Attribute,cognitive,knowledge,memory,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,,???,is remembered by,NULL,NULL,NULL,1,1,1,1,NA,NA,,,,,
approved,A0219,[] Person | [] Group,"""relocavit""???",moved/relocated,,,NULL,NULL,NULL,NULL,action,moving,relocation,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NA,1,1,,,,,
approved,A0115,[] Person | [] Group,"""remisit""",released (somebody from a punishment),,,4,[] Person | [] Group,de + 6,punishment,interaction,trial,mitigation,punishment mitigation,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,exercise of power over sb,,A0116,"""remissus/a est""",was released (by somebody from a punishment),,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0116,[] Person | [] Group,"""remissus/a est""",was released (by somebody from a punishment),,,"""a"" + 6",[] Person | [] Group,de + 6,punishment,interaction,trial,mitigation,punishment mitigation,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,object of the exercise of power,,A0115,"""remisit""",released (somebody from a punishment),,#N/A,#N/A,1,NA,1,1,NA,NA,,,,"location_where = place where remission given, if different from document detail; place_from = place of visitation/stay or prison.",
approved,A0079,[] Person | [] Group,"""reprehendit""",reproach,,,4,[] Person | [] Group,"""de"" + 6 | ""quia"" | ""quod""",[] Concept | [] Statement,interaction,reproach,,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,negative,,,"""reprehensus/a fuit""",was rebuked by,,#N/A,#N/A,1,NA,1,1,NA,NA,,,"""reprehendit Ramun­dum et dictus Ramundus subrisit"" (Fournier)",,
approved,A0140,[] Person | [] Group,"""requisitus""",was interrogated (by sb - about st),,,"""per"" + 4
",[] Person | [] Group,"NULL | ""de"" + 6 | ""super"" + 6 | ""utrum""",[] Concept | [] Statement,relation,trial,interrogation,,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0134,"""examinatus/a (judicialiter)""",was interrogated (by sb - about st),,#VALUE!,#VALUE!,,,,,A0141,"""requisivit""",interrogated (sb about st),,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
approved,A0141,[] Person | [] Group,"""requisivit""",interrogated (sb about st),,,4,[] Person | [] Group,"NULL | ""de"" + 6 | ""super"" + 6 | ""utrum""",[] Concept | [] Statement,relation,trial,interrogation,,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0135,"""examinavit (judicialiter)""",interrogated (sb - about st),,#VALUE!,#VALUE!,,,,,A0140,"""requisitus""",was interrogated (by sb - about st),,#N/A,#N/A,1,NA,1,1,NA,NA,,,,,
